angle [deg]	counting rate [cps]
15.00	4.34
15.20	4.32
15.30	4.83
15.40	4.50
15.50	5.00
15.60	5.82
15.70	5.32
15.80	6.31
15.90	5.15
16.00	3.51
16.10	4.18
16.20	4.50
16.30	5.99
16.40	5.81
16.50	4.49
16.60	4.49
16.70	4.83
16.80	3.67
16.90	3.50
17.00	4.67
17.10	5.49
17.20	5.98
17.30	5.15
17.40	5.16
17.50	5.15
17.60	4.16
17.70	4.00
17.80	5.50
17.90	5.33
18.00	4.67
18.10	5.00
18.20	4.32
18.30	4.65
18.40	4.82
18.50	4.16
18.60	3.99
18.70	3.49
18.80	4.01
18.90	5.17
19.00	5.17
19.10	6.65
19.20	5.48
19.30	3.50
19.40	3.83
19.50	3.50
19.60	4.66
19.70	4.66
19.80	4.17
19.90	4.83
20.00	5.49
20.10	5.32
20.20	3.99
20.30	4.82
20.40	4.48
20.50	2.83
20.60	3.33
20.70	4.15
20.80	3.49
20.90	3.67
21.00	4.33
21.10	5.49
21.20	5.66
21.30	4.66
21.40	4.82
21.50	4.49
21.60	3.49
21.70	5.32
21.80	6.66
21.90	4.67
22.00	5.00
22.10	5.50
22.20	4.99
22.30	3.49
22.40	3.67
22.50	5.50
22.60	6.49
22.70	5.15
22.80	3.33
22.90	5.50
23.00	5.17
23.10	4.15
23.20	5.33
23.30	4.51
23.40	3.67
23.50	4.33
23.60	4.33
23.70	3.99
23.80	3.82
23.90	4.83
24.00	5.33
24.10	4.65
24.20	4.67
24.30	4.17
24.40	4.16
24.50	5.00
24.60	6.35
24.70	5.51
24.80	4.83
24.90	6.00
25.00	5.51
25.10	6.17
25.20	5.15
25.30	3.83
25.40	5.01
25.50	5.34
25.60	5.33
25.70	5.98
25.80	4.82
25.90	3.99
26.00	3.66
26.10	3.51
26.20	5.19
26.30	5.85
26.40	5.50
26.50	5.34
26.60	6.51
26.70	7.34
26.80	6.32
26.90	6.82
27.00	7.18
27.10	5.84
27.20	5.15
27.30	4.15
27.40	3.67
27.50	4.17
27.60	4.67
27.70	5.35
27.80	5.18
27.90	5.67
28.00	6.33
28.10	5.32
28.20	5.33
28.30	5.17
28.40	6.34
28.50	7.16
28.60	6.47
28.70	5.15
28.80	4.83
28.90	5.16
29.00	3.82
29.10	3.67
29.20	4.00
29.30	5.50
29.40	6.16
29.50	6.33
29.60	7.16
29.70	6.66
29.80	7.85
29.90	7.51
30.00	5.65
30.10	5.67
30.20	6.51
30.30	7.82
30.40	7.66
30.50	6.83
30.60	6.32
30.70	7.49
30.80	8.67
30.90	6.33
31.00	5.15
31.10	5.98
31.20	7.64
31.30	5.98
31.40	6.50
31.50	8.51
31.60	6.68
31.70	5.99
31.80	6.49
31.90	8.01
32.00	7.49
32.10	6.15
32.20	8.00
32.30	8.33
32.40	7.51
32.50	8.68
32.60	9.16
32.70	9.01
32.80	8.85
32.90	8.51
33.00	7.49
33.10	7.97
33.20	9.82
33.30	9.65
33.40	8.31
33.50	7.83
33.60	8.00
33.70	8.66
33.80	8.68
33.90	9.01
34.00	8.51
34.10	8.83
34.20	12.15
34.30	11.33
34.40	10.99
34.50	10.83
34.60	10.51
34.70	10.67
34.80	9.32
34.90	11.15
35.00	0.00
